adagal,83
anawal,3102
belur,5481
cholachagud,1794
fakirbhudihal,222
haldur,1364
halkurki,1097
hansanur,2664
hebbali,435
hosur,464
huligeri,869
hullikeri,2586
jalihal,5917
jamankatti,891
kaknur,1304
katageri,1744
kelavadi,1342
khanapur s.k.,844
kittali,1517
kotikal,1599
layadgundi,456
mamtageri,1235
mangalore,1333
mustigeri,911
mutalgeri,3548
nagaral s.p.,2062
nandikeshwar,1125
neelgund,636
neeralkeri,2737
neerbhudihal,3672
parvati,2843
pattadkal,2573
sulikeri,2873
bagavati,1593
bel-kerur,1815
benakatti,4047
bennur,2185
bevoor,1781
chikka- shellikeri,2158
gaddankeri,1658
hallur,1760
hire - gulbal,1661
kadalimatti,893
kadampur,360
kaladagi,13676
khajidoni,2549
mugalolli,2359
murnal,1147
nainegalli,978
neeralkeri,2737
rampur,874
shirur,3444
sutagundar,862
tulasigeri,4612
yadahalli,2182
kundargi,1540
kataraki,1153
herkal,1590
anagwadi,3986
chikkalagundi,2070
arakeri,3152
korthi,553
heggur,500
honnihal,117
kandagal,6486
sonna,4440
girisagar,7514
siddapur,4843
teggi,5118
inam - hanchinal,287
yadahalli,2182
badagi,3355
kollur,2633
galgalli,8380
amarawati,3011
amingad,15073
balkundi,685
belgal,520
binjawadgi,1074
budihal s.k.,556
chikkanal,2203
chittargi,1817
dhannur,884
ganjihal,3442
gorabal,2510
gudur s.c.,647
hire-kodagalli,11969
hire-magi,240
hire-oatgeri,978
hire-shingangutti,1852
iahole,3403
jambaldinni,1044
kamatagi,15620
karadi,3625
kelur,3913
kodal-sangam,4013
marol,496
mugnoor,1198
nagur,490
nandwadgi,325
rakkasagi,1488
sulibavi,10176
vadgeri,2402
algur,6448
asangi,5787
bidari,5515
chikka-padsalgi,3021
chimmad,10839
golabavi,5099
gote,2452
halingali,7363
hangandi,3005
hipparagi,8560
hire-padsalgi,2212
hulyal,5058
hunnur,9771
jagdal,1345
jambagi b.k.,2183
kadapatti,535
kankanwadi,2653
kannolli,3815
kolahalli,8353
konnur,8989
kumbar- hall,4848
kunchanoor,1683
linagnoor,1200
madarkhandi,3441
maigur,4419
muttur,2491
navalagi,7875
saslatti,8226
savalagi,12506
surapalli,1910
todalbagi,8598
tungal,7257
bantnur,1238
belagali,17460
chinchakhandi k.d.,1169
dadnatti,809
dhavaleshwar,7392
halgali,5450
hebbal,1459
ingalagi,2586
kasaba-jambagi,2318
kesarkoppa,1304
kulalli,3082
laxanatti,903
lokapur,12790
machaknur,1120
malali,5760
mantur,635
metagud,481
mugalkhoda,8642
nagaral,2634
saidapur,7713
shirol,12171
uttur,2467
vajarmatti,1577
vantgodi,1614
