aavle,1106
akloli,2942
alimghar,1345
amane,2683
ambadi,3060
angaon,4141
anjur,3807
asnoli,781
bapgaon,892
bhadane,1354
bharodi,1533
bhinar,1599
bhokari,1388
borivali t.rahur,5780
chane,127
chave,500
chimbipada,1488
chinchavali t.kunde,632
dabhad,1617
damangaon,1896
dapode,3026
dighashi,649
dive,2062
dive-anjur,3736
dohole,680
dudhani,245
dugad,1948
dunge,2038
eksal,331
gane-phirangpada,527
ganeshapuri,3246
ghotgaon,1710
gorsai,2274
gove,4766
gundavali,2926
joo-nandurkhi,2690
kalher,15573
kalwar,2978
kambe,6642
kandali,609
karivali,12907
kasane,1546
kasheli,3432
katai,12898
kawad,1237
kelhe,902
kevani,2935
khadki,961
khaling bu.,1304
khambale,1264
khandpe,1233
khandval,482
khanivali,964
kharbao,5250
kharivali,729
khoni,461
kon,24295
kopar,2011
kuhe,2104
kukase,705
kunde,1326
kurund,818
kusapur,422
lakhivali,1978
lamaj,515
lap bu.,98
lonad,831
mahalunge,451
mahapoli,5666
mainde,1411
malbidi,511
malodi,1732
mankoli,3421
mohandool,358
mohili,475
morani,286
nandithane,1297
nandkar,1603
nimbavali,673
nivali,879
ovali,1566
pachchapur,241
padgha,6633
pahare,1159
paigaon,337
palakhane,720
parivali,2854
paye,1919
pilanze,1327
pimpalghar-ranjanoli,1736
pimpalner,2258
pimplas,3935
pise,1120
pundas,1243
purna,6588
rahanal,10928
rahur,579
sape,1443
saravali,2259
savad,591
shelar,14899
shirole,1677
sonale,1297
supegaon,1224
surai-sarang,1661
talvali,1580
vadgahr,1380
vadpe,1623
vadunavghar,2997
vadvali t.rahur,1582
vajreshwari,2414
val,707
vandre,244
varet,819
vedhe,1195
vehele,3237
zidake,2729
ane,526
bapsai,431
behere,5234
chavare,1116
dahagaon,942
falegaon,2263
gerase,823
ghotsai,2902
goveli,324
kakadpada,923
kamba,5436
katai,12898
khoni,461
kolam,464
kosale,1237
kunde,1326
manjarli,754
mharal,29462
mhaskal,679
nadgaon,829
nandap,1166
nimbavli,358
palsoli,771
poi,869
rayate,269
raye,2187
rohan,214
runde,874
sagaon,416
sangode,1084
ushid,837
utane,946
vaholi,1291
varap,5287
vasat shelvali,1641
vasundri,1164
vehele,3237
aagarwadi,1414
aalewadi,3409
aavdhani,1744
akkarpatt,478
barhanpur,802
betegaon,2832
bhadve,634
bhahadoli,1573
birwadi,1217
boisar,8942
borsheti,737
chahade,2293
chatale,1090
chinchare,784
dahisar t manor,850
dahisar tarfe tarapur,956
danda khatali,682
dandi,6540
dapoli,628
darshet,503
datiware,490
dhansar,1787
dhuktan,2850
dongre,787
durves,342
edvan,3188
ganje dhekale,1975
ghivali,2396
girale,950
girnoli,1626
gowade,1042
gundale,271
haloli,1220
hanuman nagar,1691
jalsar,500
jayshet,820
kamare,235
kandrebhure,1077
kapase,1689
karalgaon,1220
kardal,1971
karwale,1489
katale,1241
kelwa,1403
khadkoli,2126
khaire group,31699
khairepada,306
khamloli,1534
khaniwad,966
khardi,5579
kharekuran,645
kirat,1717
kokner,1166
kolgaon,1672
kolwade,3692
kondhan,652
kore,1514
kosbad,2166
kudan,2334
kumbhawali,2361
kurgaon,3513
lalonde,1487
lalthane,818
loware,1118
mahagaon,1091
mahim,10343
makane,2146
makunsar,2500
man,847
mande,1101
manor,10421
masvan,1667
mathane,649
maykhop,331
medhwan,544
morekuran,718
murbe,7469
nagawe,333
nagzari,816
nandgaon tarfe tarapur,2553
nandore devkhop,2344
nangaon t manor,1455
nanivali,3288
navapur,4773
navaze,1998
nevale,1607
nihe,2246
padaghe,2663
pam,4150
panchali,1316
paranali,986
pargaon,1597
pasthal,18194
pathrali,308
pole,1192
pophran,1277
ravate,927
sagave,933
sakhare,999
salwad,10397
saphala,7605
saravali,2259
satiwali,1353
satpati,17032
savare,461
shelwali,561
shigaon,602
shilte,605
shirgaon,633
sonave,2650
tandulwadi,294
tarapur,6962
tembhi,1092
tembhikhodave,2408
ten,1743
tighare,358
uchchheli,1709
umroli,4011
