State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, GOVADA, 16811, 20.141006, 72.741711, GOVADA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, DAHELI, 168706, 20.154633, 72.742954, DAHELI, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, UMBERGAON, 88888, 20.192187, 72.749734, BLOCK, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, NARGOL, 168728, 20.226899, 72.750477, NARGOL, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, TADGAM, 168738, 20.270576, 72.760643, TADGAM, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, SARONDA, 168736, 20.251942, 72.764299, SARONDA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, MAROLI, 168723, 20.299258, 72.768421, MAROLI, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, AHU, 168698, 20.241318, 72.780793, AHU, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, PALGAM, 168729, 20.198206, 72.780834, PALGAM, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, DAHAD, 168705, 20.155279, 72.786576, DAHAD, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, MAMAKVADA, 168720, 20.267228, 72.789297, MAMAKVADA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, SOLSUMBHA, 168737, 20.167925, 72.790117, SOLSUMBHA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, KALGAM, 168715, 20.334747, 72.790118, KALGAM, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, FANSA, 168710, 20.339855, 72.794661, FANSA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, KHATALVADA, 168718, 20.217331, 72.794836, KHATALVADA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, TEMBHI, 168740, 20.184727, 72.795458, TEMBHI, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, MANEKPORE, 168722, 20.253904, 72.797758, MANEKPORE, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, SARAI, 168734, 20.269707, 72.804948, SARAI, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, KARAMBELI, 168716, 20.157993, 72.813083, GP, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, HUMRAN, 88888, 20.170819, 72.813237, HUMRAN, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, SANJAN, 168733, 20.193648, 72.820032, SANJAN, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, KALAI, 168714, 20.3643, 72.825055, KALAI, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, MANDA, 168721, 20.278654, 72.832541, MANDA, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, TUMBH, 168741, 20.209667, 72.832798, TUMBH, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, VANKAS, 168743, 20.231411, 72.837475, VANKAS, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, PALIKARAMBELI, 168731, 20.363261, 72.842412, PALIKARAMBELI, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, PALI, 168730, 20.353295, 72.845801, PALI, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Danti, 168762, 20.719642, 72.856391, Danti, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, MALAV, 168719, 20.234548, 72.861164, MALAV, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, KOLAK, 168655, 20.468633, 72.863115, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, SARIGAM, 168735, 20.285677, 72.863549, SARIGAM, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, UDWADA, 168692, 20.485597, 72.867137, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, PUNAT, 168732, 20.329384, 72.870115, PUNAT, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, MOHANGAM, 168724, 20.358862, 72.871713, MOHANGAM, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Dandi, 242612, 20.701603, 72.871833, Dandi, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Kakwadi, 242608, 20.715244, 72.87272, Kakwadi, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, ANGAM, 168699, 20.316026, 72.874428, ANGAM, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, DAHOLI, 88888, 20.26628, 72.875317, DAHOLI, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Bhagal, 168750, 20.684322, 72.87601, Bhagal, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, NANDIGAM, 168727, 20.232257, 72.87874, NANDIGAM, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, JAMBURI, 168712, 20.338994, 72.879304, JAMBURI, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, TARAK PARDI, 88888, 20.436659, 72.87957, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, VATAR, 168695, 20.431596, 72.883671, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, TALVADA, 168739, 20.255609, 72.884742, TALVADA, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, NAMDHA, 168665, 20.354999, 72.886139, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, BHILAD, 168702, 20.276292, 72.886876, BHILAD, 2, 
GUJARAT, 24, VALSAD, 491, VALSAD, 4273, Magod dungri, 168793, 20.544355, 72.88901, Magod dungri, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, KALSAR, 168645, 20.475385, 72.889243, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, EKLARA, 168709, 20.3293, 72.889416, EKLARA, 2, 
GUJARAT, 24, VALSAD, 491, PARDI, 4271, CHANDOR, 168632, 20.35335, 72.889613, Panchayath, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, DANOLI, 88888, 20.260044, 72.893817, DANOLI, 2, 
GUJARAT, 24, VALSAD, 491, UMBERGAON, 4272, NAHULI, 168726, 20.327153, 72.893982, NAHULI, 2, 
