VID,NAME,long,lat
0501000100003500,Sewa,78.0733,31.16184
0501000100003600,Gawalgaun,78.1062,31.16604
0501000100006400,Liwari,78.23303,31.1687
0501000100003700,Masari,78.1261,31.15872
0501000100003900,Bari,78.08782,31.15157
0501000100006300,Rala,78.22145,31.16127
0501000100003800,Khana,78.10324,31.15699
0501000100006200,Kasala,78.22807,31.14961
0501000100004100,Doni,78.09619,31.14269
0501000100004200,Satta,78.10855,31.14067
0501000100004000,Hadwari,78.07271,31.13103
0501000100006100,Regcha,78.24927,31.14335
0501000100006900,Osala,78.40946,31.14766
0501000100006000,Fitari,78.25298,31.13476
0501000100005900,Dhara,78.25166,31.11771
0501000100004300,Bhitri,78.09626,31.11611
0501000200018400,Dhonsali,78.16466,30.90848
0501000200018500,Jakhali,78.18081,30.90715
0501000100010700,Sukdala,78.09545,30.90243
0501000200022700,Chaptari,78.23827,30.90963
0501000100012900,Sunali,78.09221,30.89533
0501000200026100,Pali,78.31252,30.89858
0501000200021100,Pauri,78.19485,30.85187
0501000200021000,Jestwari,78.18831,30.84819
0501000300040700,Hitanumai Bhalsi,78.37174,30.68657
0501000400069600,Dhanpur,78.47458,30.69085
0501000100014000,Makhana,78.09279,30.86586
0501000200023800,Kursil,78.28456,30.86992
0501000100006700,Pawani,78.32412,31.11693
0501000100004700,Khanyasani,78.10403,31.10283
0501000100000600,Monda,77.92874,31.10572
0501000100005800,Sauni,78.23278,31.1169
0501000300044100,Nagal,78.28128,30.73417
0501000300038800,Barsali,78.34287,30.73438
0501000100001500,Arakot,77.82384,31.04539
0501000100001400,Makuri,77.89699,31.04592
0501000100007900,Gurari,78.09267,31.04197
0501000100009600,Painser,78.11056,31.03932
0501000100016100,Chaptari,78.0696,30.85696
0501000100014200,Pujeli (brahmanoki),78.09795,30.85799
0501000400061300,Sukki,78.71242,31.01045
0501000100002300,Pawali,77.86749,30.97749
0501000200020600,Bigrari,78.17906,30.85644
0501000200020400,Jhumrara,78.20002,30.85821
0501000200023900,Kishala,78.28208,30.85905
0501000400061600,Tehar,78.65208,30.86784
0501000100005500,Saturi,78.21136,31.10997
0501000100005700,Jakhol,78.23888,31.10797
0501000100004500,Dewal,78.0796,31.09312
0501000100006500,Gangar,78.30228,31.1049
0501000100000400,Chiwan,77.88925,31.08203
0501000100005400,Panw Talla,78.20189,31.09358
0501000100000300,Jagta,77.87887,31.06746
0501000100000900,Dhara,77.90461,31.07242
0501000100005300,Panw Malla,78.2042,31.08082
0501000100007300,Nuranu,78.06599,31.07417
0501000100005000,Sankari,78.19066,31.07366
0501000100001100,Gokal,77.90325,31.06351
0501000100000100,Kiranu,77.85232,31.05737
